1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
58059.52805;59460.93221;60304.62128;60988.89453;61318.81296;63445.38031;68964.96416;70635.55262;72028.30689;76766.41358;79522.78609;76236.43716;75701.87111;75762.42287;73638.46306;76193.96215;79026.07781;81626.26628;82160.27581;81728.60058;79068.94216;78722.26524;75988.30475;77276.77817;78003.93528;81723.7681;84358.20488;87676.50566;90539.2648;93028.14658;95194.92753;101421.3742;99317.95689;102164.4784;104120.0005;105495.1256;110141.0033;117280.4377;122194.675;118408.6839;118921.8828;114315.9106;108205.304;107994.4952;104245.6104;105404.4723;104838.734;108269.5654;107299.0806;107220.8058;99542.03111;104684.7769
342.236213;340.084963;332.946649;326.89939;332.625139;311.191225;328.022926;342.404401;354.846838;359.832725;365.850149;395.013673;391.604924;410.518471;423.021787;434.060715;481.173607;613.757334;632.52111;661.587073;718.048304;711.554683;767.070008;820.231478;867.742716;915.543548;956.139237;994.949936;1036.465258;1091.649301;1154.246142;1215.755526;1311.79077;1377.788822;1424.559112;1495.356162;1535.427853;1795.07176;1859.072616;1961.957517;2171.910756;2438.302955;2411.88261;2436.878294;2551.483033;2746.377297;2999.297502;3171.002981;3256.315468;3419.656551;3050.163824;3164.621874
1753.462438;1801.939871;1902.678209;1967.370713;1980.158008;2077.682056;2125.241148;2181.164778;2176.350043;2130.990156;2062.969044;2023.879742;1902.58589;1787.052725;1746.009485;1680.794016;1603.296963;1608.403556;1620.501035;1646.809162;1687.442722;1739.854605;1732.739114;1770.7769;1817.473405;1866.652927;1912.002257;1970.168079;2031.972202;2003.861303;2017.394607;2015.377476;2029.617942;2048.559815;2097.25835;2152.361966;2216.544703;2277.503825;2376.078087;2414.12994;2471.473631;2556.830264;2643.690815;2777.720526;2882.806895;2975.648811;3054.892547;3135.031644;3219.200886;3242.948843;2920.197443;3061.899292
;;;;;;;;;;;;;;;;;;;;783.173855;708.6891;698.220776;740.627838;862.59478;1003.484586;1485.109662;1959.085457;2247.244443;2438.723978;2554.564657;2606.750943;2735.535837;2851.274081;3061.552035;3218.594903;3423.124709;3669.086559;3932.016118;3878.441266;3980.443047;4091.582659;4133.903476;4297.494375;4403.674797;4654.609552;4865.352265;5082.998271;5339.555521;5558.082384;5459.220722;5947.819989
728.463583;898.514615;1094.680098;1265.967496;1308.986248;1348.638408;1417.284926;1488.719297;1579.31378;1715.843583;1833.018117;1956.201061;2037.752161;2199.149734;2411.033683;2542.113417;2634.788521;2755.462991;2991.965515;3863.720823;4016.265961;4192.211767;4196.110132;4154.945808;4187.546357;4365.546556;4507.524174;4757.509232;4686.669871;5030.785176;5025.530125;4938.201438;5118.675403;5239.532177;5265.016274;5383.3106;5700.075055;5912.91846;5982.511442;5031.854004;5428.159574;5684.213603;5566.53993;6067.841947;6291.240238;5869.729556;6166.081251;6287.597331;6418.567926;6485.466401;5810.950362;6394.976645
3599.249516;3910.170869;4272.020383;4752.697683;5018.983581;5155.456354;5552.316377;5690.371185;5833.689226;6082.94362;6490.032486;6071.23907;5983.149394;5678.706028;5855.20487;6181.155792;6508.039415;6604.267069;6473.631703;6554.138536;6156.593614;6113.3221;5956.467382;6144.422845;6401.40739;6568.349249;6607.697018;6729.01719;6633.278333;6556.352056;6745.848219;6749.871289;6868.690086;6865.169649;7178.346435;7325.903304;7534.541136;7909.823815;8231.097403;8142.759436;8673.897386;8935.276286;9025.312958;9216.131219;9183.45867;8783.214413;8426.842251;8470.939629;8553.864918;8592.210218;8255.567064;8621.730205
7765.087023;6827.952716;6766.671654;7062.494805;7654.311288;7894.086811;7756.597315;7788.057877;8267.86675;9103.82487;10166.25526;9906.813752;9777.050472;9992.079711;10185.47168;9974.387697;10010.57541;11105.60099;11953.74296;12557.72489;15274.80894;18220.47894;22127.35913;28279.74957;34449.57593;41586.79625;43730.59481;47104.04456;50654.11173;54069.21787;57180.12764;58216.58997;54598.78339;46232.59977;46413.06383;51300.40755;49833.06436;48515.46327;46952.70376;45569.16673;45604.47757;43659.5228;42636.03854;43765.27662;44025.7092;43647.07485;45311.98526;44599.28019;46534.45993;49390.82674;47358.93184;48302.94369
37287.25136;39439.12611;41864.53731;44278.64598;47708.8031;46279.04504;53783.91053;57731.39818;59691.0559;70825.07479;63777.1685;49505.04355;49785.65396;48373.3657;47042.08177;44789.21723;38322.67613;37164.29145;35821.54278;35445.04319;34722.16861;34761.81105;35424.115;34621.34656;34826.9095;35515.4102;35690.54963;34376.63206;33443.32291;33737.94477;33985.38542;34219.18804;34857.18678;35202.36009;34750.1218;34289.8115;35212.76578;34713.24822;33526.16448;32449.43476;32810.13974;33576.39287;33455.69749;32341.75162;31155.76047;30681.45017;29601.11212;29695.93282;29437.95593;30313.42977;30401.85979;29673.1815
1802.782128;1913.001152;2046.803792;2200.431433;2351.170432;2544.05928;2697.016656;2855.750629;3007.801727;3201.553821;3382.043776;3548.636342;3634.690637;3765.269829;3900.533786;4015.269792;4195.96893;4463.237873;4968.504347;4822.17488;4400.839285;4050.478054;3779.751165;3748.448018;3844.757731;3988.06903;4233.721791;3672.132456;3850.167587;3558.28717;3751.205769;3925.100523;4186.868508;4437.89832;4758.328057;5126.745815;5510.175846;5912.632978;6311.122459;6131.985562;6262.183626;6434.725803;6530.340965;6544.870217;6659.906118;6945.432877;7218.135;7481.955688;7753.753526;8140.860857;7900.158735;8620.703918
258.270591;252.799909;304.320734;283.5441;293.690217;294.792666;285.757179;298.95844;325.6927;319.41637;316.176536;321.210433;319.49209;306.978578;303.087155;332.90249;349.357068;339.139649;349.333003;347.571534;336.522095;357.898125;349.987903;353.236873;348.959558;359.576504;389.112559;403.209041;420.942702;434.329527;429.522147;444.213406;449.513569;469.77388;475.649829;500.828034;515.786225;520.950806;535.178419;535.111659;563.500106;583.237862;602.330687;618.336392;626.152141;631.648325;649.925151;670.744075;695.517939;644.712207;708.969717;736.983526
